"player","white_games","black_games","total"
"croketu","17","17","34"
"Ding_Zhopang","17","17","34"
"juanjosecastillo","17","17","34"
"Knockers","17","17","34"
"lecso666","17","17","34"
"Momarchy","17","17","34"
"Passerby_SA","17","17","34"
"qVova2015","16","18","34"
"R5S","17","17","34"
"therealsigma69","17","17","34"
"aakash-dalvi","16","17","33"
"Amiransar63","17","16","33"
"AngelsChessD","18","15","33"
"Ashvashan","17","16","33"
"Benomaster","17","16","33"
"boringfarmernoah","16","17","33"
"Carmen2001","17","16","33"
"Cr4ckedChess","13","20","33"
"dan_klet","16","17","33"
"DragonMEX","16","17","33"
"LaDefensaAgresiva","16","17","33"
"Mishakim2009","16","17","33"
"mollynightcore","16","17","33"
"Noyan-Shadbash93","16","17","33"
"Parolagizli63","18","15","33"
"Saif_hero","17","16","33"
"Andrew_Cc","16","16","32"
"AnshPincha","15","17","32"
"Ayaangamerz23","15","17","32"
"Epolite","16","16","32"
"hamzac","17","15","32"
"Howtoplaychess12345","16","16","32"
"jc331","16","16","32"
"michowcho","16","16","32"
"RobbyDamast","16","16","32"
"rope_and_snake","15","17","32"
"Sh88_j","16","16","32"
"theBlastardSon19","16","16","32"
"abdo1919","15","16","31"
"BabakReiko","15","16","31"
"IntegralViolist","16","15","31"
"juicyoranges","15","16","31"
"KJ1980","16","15","31"
"MayNineThousandSix","18","13","31"
"Otorongo_Jaguar","17","14","31"
"Piotreg","16","15","31"
"Ryan_house82","16","15","31"
"StephenPS","17","14","31"
"valentin7064","15","16","31"
"zyzzx","16","15","31"
"AYOUB_JABARNE","15","15","30"
"bizarre64","15","15","30"
"bobyOsck","16","14","30"
"BRF-2011","15","15","30"
"Dos_Botines","16","14","30"
"Dr_Damage","15","15","30"
"emperorofkicker","14","16","30"
"FalzeHope","15","15","30"
"harambesnotdead","16","14","30"
"HashmatAhmadi","16","14","30"
"kanhasidar","14","16","30"
"KarelovDaniil","13","17","30"
"KBvLagAintFun","16","14","30"
"lenzschwarze","16","14","30"
"Natethebrain","16","14","30"
"Obcy3","16","14","30"
"riliah_ug","15","15","30"
"savagewarrior_123","15","15","30"
"SayulNethmira1","15","15","30"
"Soooooorryyyyyyyy","15","15","30"
"sudk288383","15","15","30"
"SuperChessGuyOnline","14","16","30"
"TheThrillOfUnknown","15","15","30"
"TooSpeedyForTrouble","14","16","30"
"Vraj_9","14","16","30"
"Andre890","16","13","29"
"captainchess2","14","15","29"
"DrRaulstein","14","15","29"
"Faustino_57junior","15","14","29"
"FENIKS4145","16","13","29"
"manamanah","14","15","29"
"NoDesMatePlis","15","14","29"
"TaylorHoulihan","15","14","29"
"Tenisas","15","14","29"
"toninhovaleriano","14","15","29"
"uils0l4","15","14","29"
"Zkryaa4","15","14","29"
"Alisa_Kurguzikova","15","13","28"
"Arda433","14","14","28"
"bravestoneh","15","13","28"
"ChocoTea","14","14","28"
"davir_akhtyamov","14","14","28"
"kingcharlie","15","13","28"
"Miquel73","14","14","28"
"Nov75","12","16","28"
"otisblack","14","14","28"
"pr0methazine","13","15","28"
"Suntaker","14","14","28"
"SuRXAN_CHESS","14","14","28"
"thegoodthechess2fan","14","14","28"
"Vincy6984","15","13","28"
"Vlad_Al","14","14","28"
"zionchiu","14","14","28"
"FaceBuch","13","14","27"
"Fizik-Yadershik","14","13","27"
"GutoTavora","13","14","27"
"Jh0nny","14","13","27"
"LEoR-aRoNoV","13","14","27"
"lev_ka","14","13","27"
"Levon_2008","14","13","27"
"LovePenguinim1","13","14","27"
"luckykienboy","15","12","27"
"MikeCortez","14","13","27"
"Milek_14","13","14","27"
"mirror_mirror","10","17","27"
"Moushumi","14","13","27"
"Ntokozonkosi832","14","13","27"
"rkido","14","13","27"
"srianshsinha","15","12","27"
"Strizzi1963","13","14","27"
"Aamodupadhyaya","13","13","26"
"Aleksandr_Shalaev","14","12","26"
"ChessKing3412","12","14","26"
"Chinese-Panda","13","13","26"
"Dart_Groznyi","13","13","26"
"depressive_artist","14","12","26"
"Filetoypesto","13","13","26"
"Illumate_tops","13","13","26"
"IsaacUchasaraChess","13","13","26"
"LoseUntilYouWin","14","12","26"
"Malel","12","14","26"
"messicampeondelmundo","13","13","26"
"MironNest","14","12","26"
"PEDROMARCO","13","13","26"
"Prosalah","12","14","26"
"Serg_01","13","13","26"
"Tairam39","12","14","26"
"tempe_garit","12","14","26"
"Tomtday","14","12","26"
"Yaksh1649","13","13","26"
"CHchessik","12","13","25"
"chrismoral","12","13","25"
"daakkee04","12","13","25"
"Dr_BlunderStein","13","12","25"
"Hammxr","12","13","25"
"iamverycrazyest","13","12","25"
"jsb_1685","13","12","25"
"Kolkata-Knight-Rider","12","13","25"
"Mariaaz13","10","15","25"
"meeeeehsi","12","13","25"
"Ne_pochuvstvoval","12","13","25"
"Parth2003","11","14","25"
"regulater","13","12","25"
"Senadichanulya1234","13","12","25"
"SuperBuba_Chess","13","12","25"
"SweetOldGrandma","13","12","25"
"VTK-VACA","12","13","25"
"what_happened999","13","12","25"
"X_ROMAN17","12","13","25"
"A13J4ndr0D1390","12","12","24"
"aDxD","12","12","24"
"aniughost24","15","9","24"
"Chess-IS-Best777","12","12","24"
"cjrock530","13","11","24"
"Davidcj2310","13","11","24"
"demoleidor3000","12","12","24"
"dreamdragon0108","12","12","24"
"evripides33","11","13","24"
"Gotfrid90","9","15","24"
"JishnuBMAJ","11","13","24"
"k1dwithatie","12","12","24"
"karthik9497","11","13","24"
"kingyuksel","12","12","24"
"kypbep71","11","13","24"
"Last_teamaster","12","12","24"
"MK_2007","12","12","24"
"tairon41","13","11","24"
"TCIIDucThanh2009","12","12","24"
"TheWellHeeledKing","12","12","24"
"TigerLilov","11","13","24"
"TwixCaveman","12","12","24"
"UndeaDragon","12","12","24"
"aceiter","11","12","23"
"alexuwueyes","12","11","23"
"amudds","11","12","23"
"Buzz-08","12","11","23"
"easic","11","12","23"
"Fastplayer29","12","11","23"
"ghieee","12","11","23"
"ILUVSACS","11","12","23"
"jdan_2106","11","12","23"
"maxyml","10","13","23"
"MistrzowskieMalpki","12","11","23"
"mohammad73","12","11","23"
"NOZR69","11","12","23"
"ROHILSAHA123","11","12","23"
"shubhankarjape","12","11","23"
"statelessprincess","12","11","23"
"ubivator221","12","11","23"
"Ulloo","11","12","23"
"Vigo1975","11","12","23"
"xZoranx","10","13","23"
"ajedrez_aczino","10","12","22"
"Aquino29","11","11","22"
"bryweak","13","9","22"
"ChefsHouse96","9","13","22"
"ChessTrimmer","12","10","22"
"DannyKoz","12","10","22"
"DiegoMartin2012","11","11","22"
"Dradonbishop7","12","10","22"
"Filipaszka","9","13","22"
"giga_chad_2708","11","11","22"
"iAmNotMagnusCar","10","12","22"
"Lbqrom","11","11","22"
"Mekus22","11","11","22"
"Mr-SpideySenseUI","10","12","22"
"nany_marcielly","13","9","22"
"quackyduck1","9","13","22"
"raipai","9","13","22"
"S-hadowMonarch","12","10","22"
"Sami_BA","11","11","22"
"Stephanetah","11","11","22"
"TiGeRyvSWilLoW","11","11","22"
"VanNinhvippro2012","12","10","22"
"xasanjanov_x","10","12","22"
"adinathcc","10","11","21"
"Aperol69","9","12","21"
"Atharv1014","9","12","21"
"bijiy","11","10","21"
"BlindfoldChess69","11","10","21"
"cesarjun30","11","10","21"
"DakshaVX32","11","10","21"
"DDDYYYY","10","11","21"
"DimaStup","11","10","21"
"Freddieboi2","11","10","21"
"Hoegi","11","10","21"
"JavierUchasara_2STA","11","10","21"
"JCTolley","11","10","21"
"Kanatbek-97","11","10","21"
"kravtcle","10","11","21"
"Lajon1223","11","10","21"
"LiAm65493MaZ65493","11","10","21"
"Lokier","11","10","21"
"Madadr","11","10","21"
"MasterchessUnited","10","11","21"
"momenfox","9","12","21"
"morphish","9","12","21"
"niniveii","9","12","21"
"Plano_de_200","10","11","21"
"ruslan1406","11","10","21"
"Sega196615","10","11","21"
"voorhees_chess","11","10","21"
"WiNDim","10","11","21"
"A61935088GUSTAVO","9","11","20"
"amirreza2009","10","10","20"
"Bekrombine","10","10","20"
"brayitan171","10","10","20"
"Chessdabadab","10","10","20"
"chesstime122","10","10","20"
"DarkPhenix_2285","9","11","20"
"DavidGaye","11","9","20"
"Davidli135","11","9","20"
"ejei_tiger","10","10","20"
"Gustavo_Salas","10","10","20"
"HeadOfArduino","10","10","20"
"Ivan_Sergeevich13","11","9","20"
"JagzGm","10","10","20"
"Jonatan452","9","11","20"
"Mehrojbek2010","10","10","20"
"memoo97","10","10","20"
"MsVnf","11","9","20"
"MuyBueno","10","10","20"
"mz0","10","10","20"
"SiebBrouwer","10","10","20"
"strelec11","9","11","20"
"SumanthPrakash","9","11","20"
"tottimagic","10","10","20"
"Wardell_lewis54","10","10","20"
"Yusuf-1b","10","10","20"
"Zhenya2008","10","10","20"
"Augustin-Lbr","10","9","19"
"BolDeMyrtilles","9","10","19"
"catsupercat","9","10","19"
"DANTTASz","9","10","19"
"dastoinad","10","9","19"
"emptymoon","11","8","19"
"Evenson20","10","9","19"
"hackable","8","11","19"
"ImraneZiad19","10","9","19"
"Kazantsev","10","9","19"
"Kinyoobi","10","9","19"
"MATUSAYAYIM","9","10","19"
"Mauricio_Pama_C_Q_T","10","9","19"
"mcv_010101","9","10","19"
"merbod1391","11","8","19"
"NereSTas","9","10","19"
"rama12zan","10","9","19"
"RodJusha","10","9","19"
"ruma-x","10","9","19"
"Sanjay10chess","9","10","19"
"Shahrche","9","10","19"
"SrinithinRajkumarg","10","9","19"
"ssipdesserts","10","9","19"
"Trassnochess","9","10","19"
"ust_timofey","10","9","19"
"Yacksparrow","9","10","19"
"Yaroslav_Ilyasov","8","11","19"
"Abo_El-magd","9","9","18"
"ajayjha025","9","9","18"
"akashmohanty_RCK","7","11","18"
"AlterEgo23","9","9","18"
"Ang3LL","10","8","18"
"anonymousblitz","9","9","18"
"Arseniy1802","9","9","18"
"BorisPreobr","8","10","18"
"cjvv1516","9","9","18"
"Colt_Tara_8","10","8","18"
"DirkeyLeakys","9","9","18"
"Giant_In_Night2009","9","9","18"
"GwendolynWinters","10","8","18"
"helaocentella","9","9","18"
"Its_BASE","9","9","18"
"Kavish20","10","8","18"
"KrOOOt459","9","9","18"
"lightning_user_12345","10","8","18"
"Lovro-2008","9","9","18"
"Martin0012","7","11","18"
"Mertren","9","9","18"
"MisterRenn","9","9","18"
"Nimmit","9","9","18"
"Pawara_RC","8","10","18"
"PepeOzitt","10","8","18"
"prathik588","9","9","18"
"Rafed_Al_Mahmud","9","9","18"
"random_chan","9","9","18"
"rgjirjirij","9","9","18"
"ruggsaaa","10","8","18"
"SAH6Leandro","9","9","18"
"shuvashish76","10","8","18"
"Sodoko","9","9","18"
"StepStep13","8","10","18"
"Tx100000","9","9","18"
"XumuK69","9","9","18"
"YakovLeushin","10","8","18"
"A_G_A_V_A_T_A_R_A_9","8","9","17"
