"player","white_games","black_games","total"
"mrams04","5","3","8"
"Mukachevo","4","4","8"
"nandikaswetha","4","4","8"
"Nemiroff80","5","3","8"
"NIKIFOROV23","3","5","8"
"niklasj","5","3","8"
"NithinShivashankar","3","5","8"
"not_busy_nick","2","6","8"
"OlegZV","3","5","8"
"oleksiy60","4","4","8"
"OnlyGood","4","4","8"
"onteruc","3","5","8"
"oskkar96","4","4","8"
"PaddyMac21","4","4","8"
"Patosmink","4","4","8"
"Pepkaspas","5","3","8"
"petergof5","3","5","8"
"Phillet_AH","2","6","8"
"PhiSeKi","4","4","8"
"PieroRuizTinco","3","5","8"
"PODAMIKL","4","4","8"
"Poornimadevi","5","3","8"
"ppTono","4","4","8"
"PrizeFor_Free","4","4","8"
"psopporpdipverpcao","4","4","8"
"RagnaRockNRoll","5","3","8"
"random0855","4","4","8"
"RasuljonAzamjonov","5","3","8"
"Replicant35","3","5","8"
"rwcshaka","3","5","8"
"Salty_Fat_Slob","4","4","8"
"samarthmittal88","3","5","8"
"SergeiGordov","4","4","8"
"SergeyDemin","4","4","8"
"SergIvanS","6","2","8"
"shotgunking1","7","1","8"
"socialengineering","4","4","8"
"Sofiaaa1748","4","4","8"
"Sopizzas","4","4","8"
"speezyd","5","3","8"
"sridharvanam","4","4","8"
"stebliv","5","3","8"
"Targi","4","4","8"
"TheHalGriswold","3","5","8"
"thepurpleoctopus","5","3","8"
"timkw","3","5","8"
"TSM88","4","4","8"
"turuu75","3","5","8"
"UkrKyivCrimea","3","5","8"
"Ushilka","4","4","8"
"valeriychempion","5","3","8"
"Victorianis","4","4","8"
"VITOV76","4","4","8"
"VladimirGrPsk","5","3","8"
"Void0x32","3","5","8"
"vretyfer","4","4","8"
"Vyacheslav_mich","4","4","8"
"Wasej","4","4","8"
"wasserzell","5","3","8"
"Will-Johnston","4","4","8"
"xxzzxx","4","4","8"
"YANN25","2","6","8"
"Yarikq","5","3","8"
"yashaik","4","4","8"
"Yashwanth98","4","4","8"
"YB2020","5","3","8"
"zaaas","4","4","8"
"Zaqna","3","5","8"
